Houston Rockets,Miami Heat,108,91
Charlotte Hornets,New Orleans Pelicans,91,100
Washington Wizards,New York Knicks,98,83
Cleveland Cavaliers,Portland Trail Blazers,82,101
Oklahoma City Thunder,Toronto Raptors,88,100
Toronto Raptors,Boston Celtics,110,107
Minnesota Timberwolves,Brooklyn Nets,98,91
Miami Heat,Charlotte Hornets,89,96
New York Knicks,Detroit Pistons,95,98
Los Angeles Clippers,Golden State Warriors,104,121
Chicago Bulls,Milwaukee Bucks,95,86
Orlando Magic,Philadelphia 76ers,91,89
Memphis Grizzlies,Phoenix Suns,102,91
Denver Nuggets,Sacramento Kings,109,131
Atlanta Hawks,San Antonio Spurs,92,94
Cleveland Cavaliers,Utah Jazz,100,102
Indiana Pacers,Washington Wizards,94,96
San Antonio Spurs,Houston Rockets,81,98
Dallas Mavericks,Portland Trail Blazers,87,108
Indiana Pacers,Boston Celtics,98,101
New York Knicks,Brooklyn Nets,99,110
Atlanta Hawks,Charlotte Hornets,119,122
Cleveland Cavaliers,Denver Nuggets,110,101
Milwaukee Bucks,Detroit Pistons,95,98
Memphis Grizzlies,Oklahoma City Thunder,91,89
Minnesota Timberwolves,Orlando Magic,103,112
Chicago Bulls,Philadelphia 76ers,118,115
Sacramento Kings,Phoenix Suns,114,112
Washington Wizards,Toronto Raptors,84,103
Dallas Mavericks,Utah Jazz,105,82
New York Knicks,Atlanta Hawks,96,103
Boston Celtics,Chicago Bulls,106,101
Golden State Warriors,Houston Rockets,98,87
Washington Wizards,Indiana Pacers,97,90
Portland Trail Blazers,Los Angeles Clippers,102,106
Minnesota Timberwolves,Miami Heat,92,102
Memphis Grizzlies,Milwaukee Bucks,92,93
New Orleans Pelicans,San Antonio Spurs,100,99
Orlando Magic,Brooklyn Nets,96,104
Miami Heat,Dallas Mavericks,105,96
Utah Jazz,Detroit Pistons,97,96
Charlotte Hornets,Los Angeles Lakers,92,107
Sacramento Kings,Oklahoma City Thunder,93,101
Golden State Warriors,Phoenix Suns,95,107
Denver Nuggets,Portland Trail Blazers,100,116
Philadelphia 76ers,Toronto Raptors,88,120
Detroit Pistons,Chicago Bulls,91,102
New Orleans Pelicans,Cleveland Cavaliers,111,118
Utah Jazz,Indiana Pacers,86,97
San Antonio Spurs,Los Angeles Clippers,89,85
Atlanta Hawks,New York Knicks,91,85
Sacramento Kings,Dallas Mavericks,98,106
San Antonio Spurs,Golden State Warriors,113,100
Los Angeles Lakers,Memphis Grizzlies,102,107
Oklahoma City Thunder,Milwaukee Bucks,78,85
Charlotte Hornets,Portland Trail Blazers,100,102
Orlando Magic,Toronto Raptors,100,104
Utah Jazz,Atlanta Hawks,97,100
Oklahoma City Thunder,Boston Celtics,109,94
Portland Trail Blazers,Denver Nuggets,130,113
Indiana Pacers,Miami Heat,81,75
Houston Rockets,Minnesota Timberwolves,113,101
Los Angeles Lakers,New Orleans Pelicans,102,109
Orlando Magic,New York Knicks,97,95
Brooklyn Nets,Phoenix Suns,104,112
Detroit Pistons,Washington Wizards,103,107
Philadelphia 76ers,Dallas Mavericks,70,123
Brooklyn Nets,Golden State Warriors,99,107
Sacramento Kings,Memphis Grizzlies,110,111
Chicago Bulls,Toronto Raptors,100,93
Miami Heat,Atlanta Hawks,103,114
Cleveland Cavaliers,Boston Celtics,122,121
Philadelphia 76ers,Houston Rockets,87,88
Denver Nuggets,Indiana Pacers,108,87
San Antonio Spurs,Los Angeles Lakers,93,80
Minnesota Timberwolves,New Orleans Pelicans,91,139
Utah Jazz,New York Knicks,102,100
Detroit Pistons,Oklahoma City Thunder,96,89
Milwaukee Bucks,Orlando Magic,85,101
Charlotte Hornets,Phoenix Suns,103,95
Indiana Pacers,Chicago Bulls,99,90
Atlanta Hawks,Cleveland Cavaliers,94,127
Minnesota Timberwolves,Dallas Mavericks,117,131
Charlotte Hornets,Golden State Warriors,87,112
Phoenix Suns,Los Angeles Clippers,107,120
Detroit Pistons,Memphis Grizzlies,88,95
Brooklyn Nets,Portland Trail Blazers,87,97
San Antonio Spurs,Sacramento Kings,91,94
Utah Jazz,Toronto Raptors,93,111
Orlando Magic,Washington Wizards,93,98
Golden State Warriors,Los Angeles Lakers,136,115
Milwaukee Bucks,Miami Heat,91,84
Denver Nuggets,New York Knicks,93,109
Houston Rockets,Oklahoma City Thunder,69,65
Phoenix Suns,Boston Celtics,118,114
Miami Heat,Brooklyn Nets,95,83
Dallas Mavericks,Charlotte Hornets,107,80
Denver Nuggets,Cleveland Cavaliers,106,97
Orlando Magic,Detroit Pistons,107,93
Chicago Bulls,Los Angeles Clippers,105,89
Houston Rockets,Memphis Grizzlies,93,119
New Orleans Pelicans,Portland Trail Blazers,93,102
Philadelphia 76ers,San Antonio Spurs,75,100
Los Angeles Lakers,Atlanta Hawks,114,109
New York Knicks,Milwaukee Bucks,113,117
New Orleans Pelicans,Sacramento Kings,106,100
Oklahoma City Thunder,Utah Jazz,81,98
Milwaukee Bucks,Brooklyn Nets,122,118
San Antonio Spurs,Cleveland Cavaliers,92,90
Oklahoma City Thunder,Denver Nuggets,100,107
Phoenix Suns,Detroit Pistons,88,86
Los Angeles Lakers,Houston Rockets,98,92
Charlotte Hornets,Indiana Pacers,86,88
New York Knicks,Minnesota Timberwolves,99,115
Los Angeles Clippers,Orlando Magic,114,90
Boston Celtics,Philadelphia 76ers,101,90
Memphis Grizzlies,Toronto Raptors,92,96
Dallas Mavericks,Washington Wizards,105,102
Los Angeles Clippers,Miami Heat,110,93
Chicago Bulls,Sacramento Kings,88,103
Detroit Pistons,Atlanta Hawks,89,99
Orlando Magic,Charlotte Hornets,105,100
Los Angeles Lakers,Dallas Mavericks,106,140
New Orleans Pelicans,Denver Nuggets,97,117
Utah Jazz,Golden State Warriors,88,101
Boston Celtics,Memphis Grizzlies,100,117
San Antonio Spurs,Minnesota Timberwolves,121,92
Brooklyn Nets,Oklahoma City Thunder,94,92
Phoenix Suns,Philadelphia 76ers,122,96
Chicago Bulls,Portland Trail Blazers,87,105
Milwaukee Bucks,Toronto Raptors,82,124
Cleveland Cavaliers,Washington Wizards,78,91
Toronto Raptors,Cleveland Cavaliers,110,93
Dallas Mavericks,Houston Rockets,92,95
Phoenix Suns,Indiana Pacers,106,83
Washington Wizards,Milwaukee Bucks,111,100
Sacramento Kings,Minnesota Timberwolves,113,101
Philadelphia 76ers,New York Knicks,83,91
Miami Heat,Orlando Magic,99,92
Brooklyn Nets,San Antonio Spurs,87,99
New Orleans Pelicans,Utah Jazz,106,94
Portland Trail Blazers,Boston Celtics,94,88
Denver Nuggets,Los Angeles Lakers,101,94
Los Angeles Clippers,Memphis Grizzlies,91,107
Charlotte Hornets,Miami Heat,93,94
Golden State Warriors,Oklahoma City Thunder,91,86
Los Angeles Clippers,Charlotte Hornets,113,92
Orlando Magic,Cleveland Cavaliers,74,106
Indiana Pacers,Dallas Mavericks,111,100
New York Knicks,Houston Rockets,86,91
Portland Trail Blazers,Philadelphia 76ers,114,104
Phoenix Suns,Toronto Raptors,100,104
Chicago Bulls,Utah Jazz,97,95
Chicago Bulls,Denver Nuggets,109,114
Golden State Warriors,Miami Heat,114,97
Detroit Pistons,Milwaukee Bucks,86,98
Sacramento Kings,New Orleans Pelicans,99,89
Atlanta Hawks,Washington Wizards,106,102
Toronto Raptors,Atlanta Hawks,126,115
Portland Trail Blazers,Charlotte Hornets,105,97
Washington Wizards,Cleveland Cavaliers,87,113
New York Knicks,Dallas Mavericks,102,109
Los Angeles Clippers,Detroit Pistons,104,98
Sacramento Kings,Houston Rockets,89,102
Memphis Grizzlies,Los Angeles Lakers,99,93
Milwaukee Bucks,Minnesota Timberwolves,103,86
Utah Jazz,Oklahoma City Thunder,82,97
Golden State Warriors,Orlando Magic,111,96
Brooklyn Nets,Philadelphia 76ers,99,91
Denver Nuggets,Phoenix Suns,112,120
Indiana Pacers,San Antonio Spurs,100,106
New Orleans Pelicans,Atlanta Hawks,91,100
Chicago Bulls,Boston Celtics,109,102
Golden State Warriors,Charlotte Hornets,106,101
Phoenix Suns,Denver Nuggets,97,122
Milwaukee Bucks,Detroit Pistons,104,88
Los Angeles Clippers,Houston Rockets,102,85
Orlando Magic,Indiana Pacers,83,98
Minnesota Timberwolves,Los Angeles Lakers,120,119
New York Knicks,Oklahoma City Thunder,78,105
Memphis Grizzlies,Portland Trail Blazers,112,99
Sacramento Kings,San Antonio Spurs,104,112
Dallas Mavericks,Toronto Raptors,106,102
Charlotte Hornets,Atlanta Hawks,75,105
Indiana Pacers,Cleveland Cavaliers,97,109
Houston Rockets,Milwaukee Bucks,117,103
Dallas Mavericks,Philadelphia 76ers,110,103
Los Angeles Clippers,Utah Jazz,112,96
New Orleans Pelicans,Washington Wizards,80,83
San Antonio Spurs,Boston Celtics,111,89
Chicago Bulls,Brooklyn Nets,102,84
Golden State Warriors,Detroit Pistons,104,93
Toronto Raptors,Los Angeles Lakers,122,129
Miami Heat,New York Knicks,86,79
Orlando Magic,Phoenix Suns,93,90
Minnesota Timberwolves,Portland Trail Blazers,93,107
Memphis Grizzlies,Sacramento Kings,97,85
Minnesota Timberwolves,Los Angeles Clippers,101,127
San Antonio Spurs,Philadelphia 76ers,109,103
Denver Nuggets,Utah Jazz,103,101
Miami Heat,Washington Wizards,86,107
Boston Celtics,Atlanta Hawks,105,109
Dallas Mavericks,Chicago Bulls,132,129
Milwaukee Bucks,Cleveland Cavaliers,108,111
Portland Trail Blazers,Denver Nuggets,105,103
Los Angeles Lakers,Detroit Pistons,106,96
Orlando Magic,Golden State Warriors,97,98
Oklahoma City Thunder,New Orleans Pelicans,104,112
Brooklyn Nets,New York Knicks,98,93
Indiana Pacers,Phoenix Suns,99,116
Toronto Raptors,Sacramento Kings,117,109
Detroit Pistons,Boston Celtics,102,109
San Antonio Spurs,Brooklyn Nets,93,95
Chicago Bulls,Charlotte Hornets,102,95
Memphis Grizzlies,Houston Rockets,96,105
Orlando Magic,Los Angeles Clippers,86,114
Atlanta Hawks,Miami Heat,112,102
Dallas Mavericks,Milwaukee Bucks,107,105
Philadelphia 76ers,Minnesota Timberwolves,85,77
Toronto Raptors,Utah Jazz,123,104
Los Angeles Lakers,Washington Wizards,95,111
New Orleans Pelicans,Golden State Warriors,85,112
Cleveland Cavaliers,New York Knicks,90,87
Indiana Pacers,Portland Trail Blazers,82,88
Los Angeles Lakers,Boston Celtics,96,113
Atlanta Hawks,Brooklyn Nets,98,75
New York Knicks,Charlotte Hornets,102,103
Phoenix Suns,Dallas Mavericks,118,106
San Antonio Spurs,Memphis Grizzlies,107,101
Miami Heat,Milwaukee Bucks,85,109
Houston Rockets,Minnesota Timberwolves,114,112
Oklahoma City Thunder,Philadelphia 76ers,103,91
Indiana Pacers,Sacramento Kings,101,102
Cleveland Cavaliers,Toronto Raptors,105,91
Orlando Magic,Utah Jazz,98,93
Denver Nuggets,Washington Wizards,89,119
Golden State Warriors,Chicago Bulls,112,102
Philadelphia 76ers,Detroit Pistons,108,101
Phoenix Suns,Houston Rockets,95,100
New Orleans Pelicans,Los Angeles Clippers,100,120
Orlando Magic,Sacramento Kings,105,96
Minnesota Timberwolves,San Antonio Spurs,101,123
Denver Nuggets,Atlanta Hawks,84,96
Washington Wizards,Boston Celtics,93,101
Milwaukee Bucks,Dallas Mavericks,102,125
Oklahoma City Thunder,Detroit Pistons,96,94
New Orleans Pelicans,Los Angeles Lakers,104,87
Miami Heat,Memphis Grizzlies,87,103
Portland Trail Blazers,New York Knicks,103,99
Cleveland Cavaliers,Brooklyn Nets,110,88
Atlanta Hawks,Indiana Pacers,108,92
Phoenix Suns,Los Angeles Clippers,120,121
Golden State Warriors,Minnesota Timberwolves,102,86
Utah Jazz,Sacramento Kings,92,101
Denver Nuggets,Toronto Raptors,107,112
Boston Celtics,Washington Wizards,132,133
Toronto Raptors,Cleveland Cavaliers,101,105
Portland Trail Blazers,Detroit Pistons,98,86
Sacramento Kings,Los Angeles Lakers,95,98
Dallas Mavericks,Memphis Grizzlies,105,114
New York Knicks,New Orleans Pelicans,93,104
Milwaukee Bucks,Oklahoma City Thunder,101,114
Miami Heat,Phoenix Suns,103,97
San Antonio Spurs,Utah Jazz,96,100
Philadelphia 76ers,Atlanta Hawks,79,95
Brooklyn Nets,Chicago Bulls,80,105
Boston Celtics,Charlotte Hornets,87,96
New Orleans Pelicans,Dallas Mavericks,107,112
Miami Heat,Denver Nuggets,82,102
Houston Rockets,Golden State Warriors,93,105
Los Angeles Clippers,Indiana Pacers,103,96
Portland Trail Blazers,Minnesota Timberwolves,82,90
Washington Wizards,Orlando Magic,91,89
New York Knicks,San Antonio Spurs,95,109
Cleveland Cavaliers,Oklahoma City Thunder,94,103
Houston Rockets,Sacramento Kings,113,109
Orlando Magic,Atlanta Hawks,81,87
New York Knicks,Boston Celtics,101,95
Philadelphia 76ers,Brooklyn Nets,70,88
Portland Trail Blazers,Chicago Bulls,106,115
Charlotte Hornets,Memphis Grizzlies,107,113
Oklahoma City Thunder,Minnesota Timberwolves,111,92
Cleveland Cavaliers,New Orleans Pelicans,114,119
Detroit Pistons,Phoenix Suns,105,103
Los Angeles Lakers,San Antonio Spurs,112,110
Indiana Pacers,Toronto Raptors,94,106
Miami Heat,Utah Jazz,100,95
Los Angeles Clippers,Washington Wizards,96,104
Brooklyn Nets,Charlotte Hornets,114,87
Golden State Warriors,Dallas Mavericks,105,98
Denver Nuggets,Houston Rockets,96,108
Portland Trail Blazers,Indiana Pacers,95,85
Los Angeles Clippers,Milwaukee Bucks,106,111
Atlanta Hawks,Orlando Magic,99,100
Memphis Grizzlies,Philadelphia 76ers,120,115
Detroit Pistons,Sacramento Kings,95,90
San Antonio Spurs,Denver Nuggets,99,91
Chicago Bulls,Miami Heat,93,75
Los Angeles Lakers,Minnesota Timberwolves,100,94
Golden State Warriors,New Orleans Pelicans,128,122
Toronto Raptors,New York Knicks,95,90
Phoenix Suns,Oklahoma City Thunder,88,112
Utah Jazz,Washington Wizards,84,93
Chicago Bulls,Atlanta Hawks,86,93
Charlotte Hornets,Cleveland Cavaliers,88,97
Los Angeles Lakers,Indiana Pacers,91,110
Detroit Pistons,Los Angeles Clippers,91,113
Boston Celtics,Philadelphia 76ers,105,87
Milwaukee Bucks,Phoenix Suns,96,94
San Antonio Spurs,Portland Trail Blazers,95,108
Orlando Magic,Toronto Raptors,82,95
Miami Heat,Brooklyn Nets,95,91
Golden State Warriors,Memphis Grizzlies,98,105
Utah Jazz,New Orleans Pelicans,111,119
Dallas Mavericks,New York Knicks,107,87
Oklahoma City Thunder,Sacramento Kings,104,92
Minnesota Timberwolves,Washington Wizards,95,109
Orlando Magic,Boston Celtics,92,109
Phoenix Suns,Charlotte Hornets,111,106
Atlanta Hawks,Cleveland Cavaliers,127,98
Houston Rockets,Denver Nuggets,115,111
Dallas Mavericks,Detroit Pistons,117,106
Indiana Pacers,Los Angeles Clippers,100,102
Utah Jazz,Miami Heat,105,87
Milwaukee Bucks,Portland Trail Blazers,97,104
Memphis Grizzlies,San Antonio Spurs,117,116
Brooklyn Nets,Toronto Raptors,89,105
New York Knicks,Chicago Bulls,97,103
Oklahoma City Thunder,Golden State Warriors,109,114
New Orleans Pelicans,Houston Rockets,99,90
Milwaukee Bucks,Sacramento Kings,108,107
Minnesota Timberwolves,Boston Celtics,98,114
Brooklyn Nets,Cleveland Cavaliers,91,95
Los Angeles Clippers,Denver Nuggets,106,109
Toronto Raptors,Detroit Pistons,110,100
Oklahoma City Thunder,Los Angeles Lakers,104,103
Chicago Bulls,Memphis Grizzlies,103,97
Washington Wizards,Miami Heat,105,103
Utah Jazz,Orlando Magic,101,94
Charlotte Hornets,Philadelphia 76ers,109,91
Portland Trail Blazers,San Antonio Spurs,129,119
Utah Jazz,Charlotte Hornets,86,104
San Antonio Spurs,Dallas Mavericks,93,99
Indiana Pacers,Denver Nuggets,73,76
Atlanta Hawks,Houston Rockets,104,97
Milwaukee Bucks,Los Angeles Clippers,102,106
Portland Trail Blazers,New Orleans Pelicans,114,88
Phoenix Suns,New York Knicks,99,90
Detroit Pistons,Brooklyn Nets,105,110
Memphis Grizzlies,Cleveland Cavaliers,91,105
Boston Celtics,Miami Heat,84,100
Indiana Pacers,Minnesota Timberwolves,100,96
New Orleans Pelicans,Oklahoma City Thunder,101,99
Philadelphia 76ers,Orlando Magic,96,88
Los Angeles Lakers,Sacramento Kings,101,108
New York Knicks,Toronto Raptors,108,118
Phoenix Suns,Washington Wizards,104,92
Toronto Raptors,Chicago Bulls,120,129
Denver Nuggets,Charlotte Hornets,82,110
Atlanta Hawks,Dallas Mavericks,105,102
Sacramento Kings,Golden State Warriors,108,128
Portland Trail Blazers,Houston Rockets,95,110
Utah Jazz,Memphis Grizzlies,97,91
Los Angeles Clippers,San Antonio Spurs,118,125
Los Angeles Clippers,Atlanta Hawks,104,107
Denver Nuggets,Brooklyn Nets,96,102
Minnesota Timberwolves,Cleveland Cavaliers,104,125
New Orleans Pelicans,Indiana Pacers,84,96
Golden State Warriors,Los Angeles Lakers,105,115
Philadelphia 76ers,Miami Heat,91,87
Charlotte Hornets,Milwaukee Bucks,108,101
Portland Trail Blazers,Oklahoma City Thunder,115,111
Boston Celtics,Orlando Magic,95,100
Dallas Mavericks,Phoenix Suns,115,124
Chicago Bulls,Washington Wizards,99,91
Los Angeles Lakers,Chicago Bulls,93,113
Golden State Warriors,Los Angeles Clippers,86,100
Cleveland Cavaliers,Miami Heat,91,101
Washington Wizards,New York Knicks,102,91
Oklahoma City Thunder,San Antonio Spurs,114,106
Milwaukee Bucks,Atlanta Hawks,107,77
Brooklyn Nets,Boston Celtics,109,107
Los Angeles Lakers,Dallas Mavericks,98,102
Minnesota Timberwolves,Denver Nuggets,102,106
Indiana Pacers,Detroit Pistons,109,119
Houston Rockets,Memphis Grizzlies,117,111
San Antonio Spurs,New Orleans Pelicans,90,97
Charlotte Hornets,Oklahoma City Thunder,75,98
Cleveland Cavaliers,Orlando Magic,98,89
Philadelphia 76ers,Portland Trail Blazers,93,114
Phoenix Suns,Sacramento Kings,115,106
Indiana Pacers,Brooklyn Nets,110,85
New Orleans Pelicans,Chicago Bulls,100,107
Orlando Magic,Charlotte Hornets,102,94
Minnesota Timberwolves,Golden State Warriors,97,110
Toronto Raptors,Los Angeles Clippers,110,98
Memphis Grizzlies,Miami Heat,103,95
Atlanta Hawks,Milwaukee Bucks,90,85
New York Knicks,Sacramento Kings,129,135
Philadelphia 76ers,Utah Jazz,71,88
Boston Celtics,Washington Wizards,88,101
Detroit Pistons,Cleveland Cavaliers,103,80
Oklahoma City Thunder,Dallas Mavericks,107,112
Toronto Raptors,Denver Nuggets,116,102
Phoenix Suns,Los Angeles Lakers,116,107
New York Knicks,Portland Trail Blazers,79,101
Houston Rockets,San Antonio Spurs,106,110
Sacramento Kings,Brooklyn Nets,99,107
Milwaukee Bucks,Charlotte Hornets,104,94
Washington Wizards,Houston Rockets,104,103
Chicago Bulls,Indiana Pacers,92,90
Utah Jazz,Los Angeles Clippers,97,101
Orlando Magic,Miami Heat,102,101
Cleveland Cavaliers,Atlanta Hawks,101,109
Brooklyn Nets,Chicago Bulls,96,82
Washington Wizards,Dallas Mavericks,87,114
Los Angeles Lakers,Denver Nuggets,111,103
Philadelphia 76ers,Golden State Warriors,86,126
San Antonio Spurs,Memphis Grizzlies,87,95
Phoenix Suns,New Orleans Pelicans,106,110
Detroit Pistons,Orlando Magic,109,86
Toronto Raptors,Portland Trail Blazers,97,102
Minnesota Timberwolves,Utah Jazz,94,100
Sacramento Kings,Boston Celtics,84,106
Milwaukee Bucks,Cleveland Cavaliers,96,80
Charlotte Hornets,Houston Rockets,83,102
Miami Heat,Indiana Pacers,95,106
New York Knicks,Los Angeles Clippers,78,99
Phoenix Suns,Oklahoma City Thunder,134,137
New Orleans Pelicans,San Antonio Spurs,93,95
Denver Nuggets,Chicago Bulls,101,106
Sacramento Kings,Minnesota Timberwolves,110,107
Dallas Mavericks,Boston Celtics,119,101
Cleveland Cavaliers,Charlotte Hornets,91,87
Toronto Raptors,Golden State Warriors,105,126
Memphis Grizzlies,Los Angeles Lakers,109,106
Indiana Pacers,Milwaukee Bucks,94,91
Houston Rockets,New Orleans Pelicans,83,111
Detroit Pistons,New York Knicks,97,81
Washington Wizards,Oklahoma City Thunder,102,109
Brooklyn Nets,Orlando Magic,100,98
Philadelphia 76ers,Phoenix Suns,96,112
Atlanta Hawks,Utah Jazz,98,92
Boston Celtics,Chicago Bulls,104,109
Memphis Grizzlies,Denver Nuggets,85,114
Miami Heat,Houston Rockets,79,115
Philadelphia 76ers,Los Angeles Clippers,91,127
Utah Jazz,Minnesota Timberwolves,101,89
Charlotte Hornets,Orlando Magic,98,90
Atlanta Hawks,Portland Trail Blazers,115,107
Washington Wizards,San Antonio Spurs,92,101
Dallas Mavericks,Cleveland Cavaliers,109,90
Sacramento Kings,Detroit Pistons,95,114
Indiana Pacers,Los Angeles Lakers,87,88
Brooklyn Nets,Miami Heat,84,88
Milwaukee Bucks,New York Knicks,95,82
Toronto Raptors,Phoenix Suns,109,125
Charlotte Hornets,Boston Celtics,104,95
Dallas Mavericks,Brooklyn Nets,96,88
Houston Rockets,Chicago Bulls,105,114
Oklahoma City Thunder,Golden State Warriors,91,117
Atlanta Hawks,Los Angeles Clippers,107,98
New York Knicks,Memphis Grizzlies,83,105
Denver Nuggets,Minnesota Timberwolves,110,101
Washington Wizards,New Orleans Pelicans,92,85
Cleveland Cavaliers,Philadelphia 76ers,92,95
Los Angeles Lakers,Portland Trail Blazers,94,98
Indiana Pacers,Utah Jazz,105,101
Phoenix Suns,Milwaukee Bucks,102,96
Detroit Pistons,San Antonio Spurs,105,104
Memphis Grizzlies,Atlanta Hawks,86,96
Boston Celtics,Brooklyn Nets,89,81
Utah Jazz,Chicago Bulls,97,77
New Orleans Pelicans,Charlotte Hornets,94,98
Houston Rockets,Cleveland Cavaliers,105,93
Detroit Pistons,Dallas Mavericks,108,95
Orlando Magic,Denver Nuggets,90,93
Indiana Pacers,Golden State Warriors,102,117
Los Angeles Lakers,Los Angeles Clippers,89,114
Phoenix Suns,Minnesota Timberwolves,113,111
Milwaukee Bucks,Philadelphia 76ers,97,77
Oklahoma City Thunder,Sacramento Kings,83,104
New York Knicks,Washington Wizards,91,101
Houston Rockets,New York Knicks,120,96
Miami Heat,Portland Trail Blazers,83,99
Charlotte Hornets,Toronto Raptors,103,95
Philadelphia 76ers,Brooklyn Nets,90,88
Atlanta Hawks,Detroit Pistons,106,103
Cleveland Cavaliers,Golden State Warriors,94,112
Boston Celtics,Indiana Pacers,103,107
Orlando Magic,Los Angeles Lakers,84,101
Minnesota Timberwolves,Milwaukee Bucks,84,98
Memphis Grizzlies,New Orleans Pelicans,95,106
Utah Jazz,Oklahoma City Thunder,94,99
Denver Nuggets,Sacramento Kings,118,108
Phoenix Suns,San Antonio Spurs,95,100
Chicago Bulls,Washington Wizards,86,102
Milwaukee Bucks,Chicago Bulls,87,95
Brooklyn Nets,Detroit Pistons,93,98
Utah Jazz,Houston Rockets,82,97
Dallas Mavericks,Los Angeles Clippers,100,120
San Antonio Spurs,Minnesota Timberwolves,108,93
Charlotte Hornets,New York Knicks,110,82
Indiana Pacers,Philadelphia 76ers,92,93
Orlando Magic,Portland Trail Blazers,92,103
Boston Celtics,Toronto Raptors,96,109
Washington Wizards,Atlanta Hawks,89,120
Miami Heat,Los Angeles Clippers,104,90
Portland Trail Blazers,Los Angeles Lakers,106,94
Phoenix Suns,Memphis Grizzlies,110,122
Cleveland Cavaliers,Sacramento Kings,84,103
New Orleans Pelicans,Boston Celtics,100,108
Houston Rockets,Brooklyn Nets,113,99
Orlando Magic,Chicago Bulls,121,114
Detroit Pistons,Toronto Raptors,114,111
Minnesota Timberwolves,Indiana Pacers,110,101
Miami Heat,Los Angeles Lakers,78,75
Atlanta Hawks,Philadelphia 76ers,105,87
Cleveland Cavaliers,Phoenix Suns,100,107
Dallas Mavericks,Sacramento Kings,108,104
Golden State Warriors,Utah Jazz,116,105
San Antonio Spurs,Washington Wizards,93,101
Atlanta Hawks,Boston Celtics,105,91
Memphis Grizzlies,Brooklyn Nets,103,92
Washington Wizards,Chicago Bulls,105,99
San Antonio Spurs,Charlotte Hornets,98,93
Dallas Mavericks,Denver Nuggets,107,114
New Orleans Pelicans,Detroit Pistons,105,94
Miami Heat,Golden State Warriors,89,104
Houston Rockets,Orlando Magic,113,120
Los Angeles Clippers,Portland Trail Blazers,100,94
Philadelphia 76ers,Toronto Raptors,84,100
Oklahoma City Thunder,Houston Rockets,101,112
Cleveland Cavaliers,Los Angeles Lakers,109,102
New York Knicks,Milwaukee Bucks,79,95
Chicago Bulls,Boston Celtics,119,103
Denver Nuggets,Dallas Mavericks,89,97
Detroit Pistons,Indiana Pacers,98,96
Cleveland Cavaliers,Los Angeles Clippers,126,121
Golden State Warriors,Oklahoma City Thunder,115,127
Memphis Grizzlies,Orlando Magic,106,96
New Orleans Pelicans,Philadelphia 76ers,81,96
Minnesota Timberwolves,Phoenix Suns,99,110
Miami Heat,Sacramento Kings,95,83
Portland Trail Blazers,San Antonio Spurs,96,110
Atlanta Hawks,Toronto Raptors,110,89
Los Angeles Lakers,Utah Jazz,85,94
Brooklyn Nets,Washington Wizards,102,80
Washington Wizards,Brooklyn Nets,99,90
Atlanta Hawks,Chicago Bulls,107,99
Indiana Pacers,Charlotte Hornets,71,80
