Eskisehirspor,Besiktas,-1
Fenerbahce,Akhisar Belediyespor,0
Rizespor,Bursaspor,-1
Bursaspor,Antalyaspor,-1
Galatasaray,Genclerbirligi,1
Konyaspor,Gaziantepspor,1
Akhisar Belediyespor,Eskisehirspor,1
Besiktas,Rizespor,1
Kasimpasa,Sivasspor,1
Kayserispor,Fenerbahce,-1
Mersin Idman Yurdu,Trabzonspor,1
Osmanlispor,Buyuksehyr,-1
Eskisehirspor,Kayserispor,-1
Rizespor,Akhisar Belediyespor,-1
Gaziantepspor,Mersin Idman Yurdu,1
Genclerbirligi,Osmanlispor,1
Kasimpasa,Bursaspor,-1
Sivasspor,Trabzonspor,-1
Buyuksehyr,Konyaspor,1
Fenerbahce,Galatasaray,0
Antalyaspor,Besiktas,-1
Bursaspor,Sivasspor,1
Kayserispor,Rizespor,0
Trabzonspor,Gaziantepspor,0
Galatasaray,Eskisehirspor,1
Mersin Idman Yurdu,Buyuksehyr,0
Osmanlispor,Fenerbahce,-1
Akhisar Belediyespor,Antalyaspor,1
Besiktas,Kasimpasa,0
Konyaspor,Genclerbirligi,0
Eskisehirspor,Osmanlispor,-1
Genclerbirligi,Mersin Idman Yurdu,0
Antalyaspor,Kayserispor,0
Buyuksehyr,Trabzonspor,1
Kasimpasa,Akhisar Belediyespor,1
Rizespor,Galatasaray,1
Bursaspor,Besiktas,-1
Fenerbahce,Konyaspor,1
Sivasspor,Gaziantepspor,1
Akhisar Belediyespor,Bursaspor,1
Galatasaray,Antalyaspor,0
Kayserispor,Kasimpasa,0
Mersin Idman Yurdu,Fenerbahce,-1
Besiktas,Sivasspor,1
Konyaspor,Eskisehirspor,1
Osmanlispor,Rizespor,-1
Trabzonspor,Genclerbirligi,1
Gaziantepspor,Buyuksehyr,-1
Antalyaspor,Osmanlispor,0
Bursaspor,Kayserispor,-1
Rizespor,Konyaspor,0
Eskisehirspor,Mersin Idman Yurdu,1
Sivasspor,Buyuksehyr,0
Besiktas,Akhisar Belediyespor,-1
Genclerbirligi,Gaziantepspor,0
Kasimpasa,Galatasaray,0
Fenerbahce,Trabzonspor,1
Galatasaray,Bursaspor,1
Kayserispor,Besiktas,-1
Konyaspor,Antalyaspor,1
Osmanlispor,Kasimpasa,-1
Buyuksehyr,Genclerbirligi,1
Gaziantepspor,Fenerbahce,0
Mersin Idman Yurdu,Rizespor,1
Akhisar Belediyespor,Sivasspor,1
Trabzonspor,Eskisehirspor,1
Bursaspor,Osmanlispor,-1
Antalyaspor,Mersin Idman Yurdu,1
Eskisehirspor,Gaziantepspor,-1
Kasimpasa,Konyaspor,1
Rizespor,Trabzonspor,1
Fenerbahce,Buyuksehyr,1
Genclerbirligi,Sivasspor,-1
Kayserispor,Akhisar Belediyespor,1
Besiktas,Galatasaray,1
Gaziantepspor,Rizespor,1
Konyaspor,Bursaspor,1
Mersin Idman Yurdu,Kasimpasa,-1
Trabzonspor,Antalyaspor,1
Buyuksehyr,Eskisehirspor,1
Galatasaray,Akhisar Belediyespor,1
Genclerbirligi,Fenerbahce,-1
Sivasspor,Kayserispor,0
Osmanlispor,Besiktas,-1
Antalyaspor,Gaziantepspor,0
Kasimpasa,Trabzonspor,0
Rizespor,Buyuksehyr,1
Akhisar Belediyespor,Osmanlispor,0
Besiktas,Konyaspor,1
Bursaspor,Mersin Idman Yurdu,1
Kayserispor,Galatasaray,0
Eskisehirspor,Genclerbirligi,1
Fenerbahce,Sivasspor,1
